year,quarter,gdp_growth,cpi,unemployment,export_growth,credit_growth,pmi,agri_gva,repo_rate,pmi_below50,export_neg,credit_soft,gdp_momentum,label
2018,Q1,8.1,4.6,6.2,5.0,12.0,51.7,5.3,6.0,0,0,0,0.0,0
2018,Q2,7.0,3.9,6.3,14.0,12.8,52.2,4.2,6.25,0,0,0,-1.0999999999999996,0
2018,Q3,6.2,3.8,6.1,8.0,14.6,53.1,3.5,6.5,0,0,0,-0.7999999999999998,0
2018,Q4,5.6,2.6,6.0,8.5,13.2,53.5,2.1,6.5,0,0,0,-0.6000000000000005,0
2019,Q1,5.8,3.0,7.0,-1.0,13.5,52.6,2.0,6.25,0,1,0,0.20000000000000018,0
2019,Q2,5.0,3.2,7.3,-0.5,13.3,52.7,2.1,5.75,0,1,0,-0.7999999999999998,1
2019,Q3,4.4,3.5,7.6,-2.1,10.0,51.4,2.1,5.4,0,1,0,-0.5999999999999996,1
2019,Q4,3.3,5.5,7.5,-5.0,7.5,52.7,1.3,5.15,0,1,1,-1.1000000000000005,1
2020,Q1,3.1,6.6,8.7,-12.7,6.7,51.8,3.7,4.4,0,1,1,-0.19999999999999973,2
2020,Q2,-24.4,6.9,23.5,-36.0,5.8,34.2,3.8,4.0,1,1,1,-27.5,2
2020,Q3,0.5,7.3,9.0,5.0,5.8,52.1,4.3,4.0,0,0,1,24.9,2
2020,Q4,1.6,5.0,8.5,9.8,5.4,57.5,4.3,4.0,0,0,1,1.1,1
2021,Q1,1.6,5.1,8.2,20.0,5.3,55.4,3.0,4.0,0,0,1,0.0,1
2021,Q2,20.1,5.8,8.1,85.0,5.5,48.1,4.5,4.0,1,0,1,18.5,1
2021,Q3,8.4,5.0,7.5,25.0,7.0,53.7,3.3,4.0,0,0,1,-11.700000000000001,0
2021,Q4,5.4,5.2,7.4,17.6,9.3,56.4,2.5,4.0,0,0,0,-3.0,0
2022,Q1,4.1,6.0,7.8,25.0,11.0,54.0,3.2,4.4,0,0,0,-1.3000000000000007,0
2022,Q2,13.5,7.3,7.2,18.0,14.5,58.0,4.5,5.9,0,0,0,9.4,0
2022,Q3,6.3,6.9,7.2,8.5,17.5,55.1,4.1,6.15,0,0,0,-7.2,0
2022,Q4,4.4,5.7,7.3,9.6,16.0,57.8,3.8,6.25,0,0,0,-1.8999999999999995,0
2023,Q1,6.1,5.7,7.5,-8.0,15.0,56.4,4.8,6.5,0,1,0,1.6999999999999993,0
2023,Q2,7.8,5.0,7.7,-15.0,16.0,57.2,3.1,6.5,0,1,0,1.7000000000000002,1
2023,Q3,7.6,5.6,7.6,5.5,16.3,57.5,1.4,6.5,0,0,0,-0.20000000000000018,0
2023,Q4,8.4,5.1,7.8,3.5,16.5,56.9,0.7,6.5,0,0,0,0.8000000000000007,0
2024,Q1,7.8,5.1,7.7,1.0,16.3,59.1,0.4,6.5,0,0,0,-0.6000000000000005,0
2024,Q2,6.7,4.8,7.9,-1.5,15.0,57.5,3.5,6.5,0,1,0,-1.0999999999999996,0
2024,Q3,5.4,5.5,7.3,-4.5,11.5,56.5,2.0,6.25,0,1,0,-1.2999999999999998,1
2024,Q4,6.2,5.3,7.0,-2.0,10.5,56.7,5.7,6.25,0,1,0,0.7999999999999998,0
2025,Q1,7.8,3.8,6.9,8.5,10.0,58.1,3.7,6.25,0,0,0,1.5999999999999996,0
2025,Q2,7.6,3.5,6.8,12.0,8.5,57.9,4.1,5.75,0,0,0,-0.20000000000000018,0
2025,Q3,7.6,3.6,6.7,13.6,7.0,55.8,4.2,5.5,0,0,1,0.0,0
2025,Q4,7.6,3.9,6.6,14.7,6.5,56.0,3.8,5.25,0,0,1,0.0,0
2026,Q1,6.9,3.93,6.6,16.09,7.8,55.0,3.5,5.25,0,0,1,-0.6999999999999993,0
