quarter,gdp_growth,cpi_inflation,wpi_inflation,pmi_manufacturing,repo_rate,exports_yoy,core_sector_growth,capacity_utilization,corporate_earnings_growth,pfce_growth,inr_usd,unemployment,label
Q1_FY2013,4.87,10.2,7.2,54.8,8.0,8.1,3.8,74.5,12.5,6.8,55.5,8.4,Slowdown
Q2_FY2013,7.49,9.8,7.8,52.5,8.0,-6.8,2.9,73.8,8.2,5.9,53.0,8.6,Warning
Q3_FY2013,5.38,10.6,7.4,53.1,8.0,-2.5,3.2,72.0,5.4,5.1,54.8,8.9,Warning
Q4_FY2013,4.3,11.0,6.1,52.8,7.75,7.3,2.6,71.5,3.1,4.2,54.2,9.1,Slowdown
Q1_FY2014,6.45,9.8,4.8,50.9,7.25,4.2,2.0,72.0,5.8,5.5,59.7,9.3,Warning
Q2_FY2014,7.34,9.6,6.3,49.6,7.5,8.1,3.5,73.2,7.2,6.0,62.5,9.0,Warning
Q3_FY2014,6.53,10.8,7.1,51.4,7.75,8.3,4.1,73.8,9.1,6.4,62.0,8.8,Warning
Q4_FY2014,5.34,8.4,5.5,52.2,8.0,4.6,3.8,73.0,8.4,6.1,62.5,8.7,Warning
Q1_FY2015,8.02,7.3,5.7,51.5,8.0,8.7,5.2,74.5,10.2,7.2,60.1,8.4,Warning
Q2_FY2015,8.7,7.2,3.2,52.4,8.0,3.1,3.9,75.0,8.9,7.8,61.8,8.2,Warning
Q3_FY2015,5.92,4.9,0.2,50.3,7.75,-3.7,1.8,74.2,6.1,7.1,63.3,8.0,Warning
Q4_FY2015,7.11,5.2,-2.1,51.1,7.5,-14.1,0.5,73.5,4.2,6.5,62.5,8.3,Warning
Q1_FY2016,7.59,5.0,-2.5,52.6,7.25,-17.1,1.2,73.0,3.8,7.0,63.8,8.5,Warning
Q2_FY2016,8.03,3.7,-4.0,52.8,6.75,-18.0,2.8,72.5,5.1,7.5,65.6,8.3,Warning
Q3_FY2016,7.2,5.4,-2.1,49.8,6.75,-13.6,3.5,73.2,6.8,8.1,66.3,8.1,Warning
Q4_FY2016,9.09,5.2,-0.2,52.5,6.75,-5.7,6.4,74.0,8.5,8.8,67.0,7.9,Warning
Q1_FY2017,8.68,5.7,1.6,51.7,6.5,1.1,5.2,74.5,7.2,8.5,67.8,7.7,Stable
Q2_FY2017,9.67,6.2,3.1,52.0,6.25,5.0,4.8,75.2,9.1,9.0,66.5,7.5,Stable
Q3_FY2017,8.58,3.8,3.4,52.4,6.25,4.4,5.6,75.8,10.5,8.6,68.0,7.4,Warning
Q4_FY2017,6.29,3.7,5.9,50.1,6.25,16.4,2.1,72.5,-4.8,6.2,65.2,8.2,Warning
Q1_FY2018,6.11,2.2,2.2,50.8,6.25,9.8,2.9,72.0,5.4,6.8,64.5,8.5,Warning
Q2_FY2018,5.32,2.9,2.9,51.2,6.0,14.5,4.3,73.0,7.2,7.5,65.3,8.3,Warning
Q3_FY2018,6.67,4.3,3.6,52.6,6.0,16.1,5.8,74.2,9.4,8.2,65.1,8.0,Stable
Q4_FY2018,8.93,4.6,2.8,52.1,6.0,9.0,4.6,75.5,14.8,8.9,65.0,7.8,Stable
Q1_FY2019,7.5,4.8,4.7,53.0,6.0,17.2,6.8,76.1,16.2,9.2,68.4,7.6,Stable
Q2_FY2019,6.46,3.7,5.1,51.8,6.5,12.5,4.2,75.8,10.5,8.8,72.9,7.9,Warning
Q3_FY2019,6.23,2.3,3.8,53.5,6.5,8.8,3.8,75.2,8.1,7.5,71.0,8.1,Warning
Q4_FY2019,5.72,7.5,2.9,54.3,6.25,0.2,4.7,74.8,6.2,6.8,70.5,8.4,Warning
